Species,Threshold,Prevalence,PctZero,Guild
AMAV,0.2583,0.2583,74.17,
AWPE,0.3327,0.3327,66.73,
BLSK,0.087,0.087,91.3,
BLTE,0.216,0.216,78.4,
DCCO,0.2995,0.2995,70.05,
DUNL,0.0432,0.0432,95.68,
EAGR,0.2837,0.2837,71.63,
FOTE,0.1791,0.1791,82.09,
GADW,0.0443,0.0443,95.57,
GULL,0.4258,0.4258,57.42,
LESA,0.2245,0.2245,77.55,
MAGO,0.1152,0.1152,88.48,
NOSH,0.2145,0.2145,78.55,
RUDU,0.1934,0.1934,80.66,
SEPL,0.065,0.065,93.5,
SNEG,0.2778,0.2778,72.22,
SNPL,0.1727,0.0727,92.73,
SORA,0.0596,0.0596,94.04,
UNDO,0.202,0.202,79.8,
WESA,0.137,0.137,86.3,
COGA,0.00845,0.0445,95.55,
GBTE,0.1363,0.1363,86.37,
LEBI,0.00434,0.0434,95.66,
VIRA,0.0177,0.0177,98.23,
